"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Mar 17 18:13:26 GMT 2025","Mon Mar 17 18:13:26 GMT 2025","0","tests.test_footer","test_footer","TestFooter","","","test_get_css_property_footer_license[color-rgba(16, 16, 18, 1)-\u0446\u0432\u0435\u0442\u0430 \u0448\u0440\u0438\u0444\u0442\u0430-https://pulsewave.ru/auth/login-chrome]",""
"passed","Mon Mar 17 18:13:46 GMT 2025","Mon Mar 17 18:13:46 GMT 2025","44","tests.test_footer","test_footer","TestFooter","","","Проверка цвета шрифта надписи 'info@pulsewave.ru' в футере",""
"passed","Mon Mar 17 18:19:08 GMT 2025","Mon Mar 17 18:19:08 GMT 2025","38","tests.test_password_recovery","test_password_recovery","TestPasswordRecoveryPage","","","Проверка цвета шрифта заголовка 'Восстановление пароля'",""
"passed","Mon Mar 17 18:16:36 GMT 2025","Mon Mar 17 18:16:36 GMT 2025","46","tests.test_header","test_header","TestHeader","","","Проверка цвета кнопки 'Регистрация в хедере https://pulsewave.ru/auth/login'",""
"passed","Mon Mar 17 18:19:02 GMT 2025","Mon Mar 17 18:19:02 GMT 2025","39","tests.test_password_recovery","test_password_recovery","TestPasswordRecoveryPage","","","Проверка текста заголовка 'Восстановление пароля'",""
"passed","Mon Mar 17 18:16:21 GMT 2025","Mon Mar 17 18:16:21 GMT 2025","40","tests.test_header","test_header","TestHeader","","","Проверка цвета шрифта кнопки 'Регистрация в хедере https://pulsewave.ru/auth/password?email='",""
"passed","Mon Mar 17 18:18:30 GMT 2025","Mon Mar 17 18:18:30 GMT 2025","37","tests.test_main_page","test_main_page","TestMainPage","","","Проверка размера шрифта элемента 'Одно приложениe для решения всех Ваших задач!' в футере",""
"skipped","Mon Mar 17 18:13:26 GMT 2025","Mon Mar 17 18:13:26 GMT 2025","0","tests.test_footer","test_footer","TestFooter","","","test_get_css_property_footer_license[font-size-16px-\u0440\u0430\u0437\u043c\u0435\u0440\u0430 \u0448\u0440\u0438\u0444\u0442\u0430-https://pulsewave.ru/auth/password?email=-chrome]",""
"skipped","Mon Mar 17 18:13:02 GMT 2025","Mon Mar 17 18:13:02 GMT 2025","0","tests.test_footer","test_footer","TestFooter","","","test_get_footer_link[https://pulsewave.ru/auth/login-chrome]",""
"passed","Mon Mar 17 18:15:33 GMT 2025","Mon Mar 17 18:15:33 GMT 2025","41","tests.test_header","test_header","TestHeader","","","Проверка размера шрифта кнопки 'Войти' в хедере https://pulsewave.ru/auth/signup",""
"passed","Mon Mar 17 18:22:04 GMT 2025","Mon Mar 17 18:22:04 GMT 2025","548","tests.test_workspace_page","test_workspace_page","TestWorkspacePage","","","W7. Проверка видимости заголовка 'Ваши рабочие пространства'",""
