"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1365","A.18 POST Обновить JWT refresh token авторизованного пользователя","tests.api_tests","Mon Dec 22 04:03:46 UTC 2025","passed","Mon Dec 22 04:03:47 UTC 2025","TestAPI","api_test","",""
"","37","W.7 Проверка видимости заголовка 'Ваши рабочие пространства'","tests.ui_tests","Mon Dec 22 04:24:14 UTC 2025","passed","Mon Dec 22 04:24:14 UTC 2025","TestWorkspacePage","workspace_page_test","",""
"","1929","F.1 Проверка попапа о принятии файлов cookie на странице https://app.pulsewave.ru/auth/password?email=","tests.ui_tests","Mon Dec 22 04:05:35 UTC 2025","passed","Mon Dec 22 04:05:37 UTC 2025","TestFooter","footer_test","",""
"","1252","W.12 Проверка прочтения уведомлений","tests.ui_tests","Mon Dec 22 04:24:40 UTC 2025","passed","Mon Dec 22 04:24:42 UTC 2025","TestWorkspacePage","workspace_page_test","",""
"","1861","S.3 Регистрация с уже зарегистрированным email и корректными паролем и подтверждением пароля","tests.ui_tests","Mon Dec 22 04:22:38 UTC 2025","passed","Mon Dec 22 04:22:40 UTC 2025","TestSignupPage","signup_page_test","",""
"","1327","L.7 Авторизация с некорректным емайл","tests.ui_tests","Mon Dec 22 04:21:31 UTC 2025","passed","Mon Dec 22 04:21:32 UTC 2025","TestLoginPage","login_page_test","",""
"","53","F.5 Проверка шрифта надписи 'info@pulsewave.ru' в футере","tests.ui_tests","Mon Dec 22 04:12:32 UTC 2025","passed","Mon Dec 22 04:12:32 UTC 2025","TestFooter","footer_test","",""
"","33","H.7 Проверка цвета шрифта кнопки 'Войти' в хедере https://app.pulsewave.ru/auth/password?email=","tests.ui_tests","Mon Dec 22 04:20:26 UTC 2025","passed","Mon Dec 22 04:20:26 UTC 2025","TestHeader","header_test","",""
"","530","H.7 Проверка шрифта кнопки 'Войти' в хедере https://app.pulsewave.ru/auth/signup","tests.ui_tests","Mon Dec 22 04:20:28 UTC 2025","passed","Mon Dec 22 04:20:29 UTC 2025","TestHeader","header_test","",""
"","69","F.8 Проверка кликабельности значка LinkedIn на странице 'https://pulsewave.ru/' в футере","tests.ui_tests","Mon Dec 22 04:18:22 UTC 2025","passed","Mon Dec 22 04:18:22 UTC 2025","TestFooter","footer_test","",""
"","1262","W.9 Проверка возможности изменить цвет переключателя 'Непрочитанные'","tests.ui_tests","Mon Dec 22 04:24:25 UTC 2025","passed","Mon Dec 22 04:24:26 UTC 2025","TestWorkspacePage","workspace_page_test","",""
"","45","F.5 Проверка цвета шрифта надписи 'info@pulsewave.ru' в футере","tests.ui_tests","Mon Dec 22 04:11:30 UTC 2025","passed","Mon Dec 22 04:11:30 UTC 2025","TestFooter","footer_test","",""
"","1350","A.22 POST Сброс пароля","tests.api_tests","Mon Dec 22 04:03:57 UTC 2025","passed","Mon Dec 22 04:03:59 UTC 2025","TestAPI","api_test","",""
"","3222","A.15 GET Список всех пользователей доски для назначения ответственных","tests.api_tests","Mon Dec 22 04:03:40 UTC 2025","passed","Mon Dec 22 04:03:43 UTC 2025","TestAPI","api_test","",""
"","592","H.5 Проверка перехода на страницу 'https://app.pulsewave.ru/auth/login' по кнопке 'Войти'","tests.ui_tests","Mon Dec 22 04:20:08 UTC 2025","passed","Mon Dec 22 04:20:08 UTC 2025","TestHeader","header_test","",""
"","546","F.6 Проверка цвета шрифта надписи '© PulseWave, 2023-2025' в футере","tests.ui_tests","Mon Dec 22 04:14:57 UTC 2025","passed","Mon Dec 22 04:14:58 UTC 2025","TestFooter","footer_test","",""
"","5679","A.5 POST Повторная отправка ссылки с приглашением пользователя","tests.api_tests","Mon Dec 22 04:03:07 UTC 2025","passed","Mon Dec 22 04:03:13 UTC 2025","TestAPI","api_test","",""
